"timestamp","message"
"2025-10-15T02:20:02.709+07:00","2025-10-14 19:20:02,708 INFO: no action. I am (pg-patroni-node1-0), the leader with the lock"
"2025-10-15T02:20:03.687+07:00","2025-10-14 19:20:03,686 INFO: no action. I am (pg-patroni-node1-0), the leader with the lock"
"2025-10-15T02:20:04.702+07:00","2025-10-14 19:20:04,701 INFO: no action. I am (pg-patroni-node1-0), the leader with the lock"
"2025-10-15T02:20:05.687+07:00","2025-10-14 19:20:05,686 INFO: no action. I am (pg-patroni-node1-0), the leader with the lock"
"2025-10-15T02:20:06.703+07:00","2025-10-14 19:20:06,702 INFO: no action. I am (pg-patroni-node1-0), the leader with the lock"
"2025-10-15T02:20:07.686+07:00","2025-10-14 19:20:07,685 INFO: no action. I am (pg-patroni-node1-0), the leader with the lock"
"2025-10-15T02:20:08.704+07:00","2025-10-14 19:20:08,703 INFO: no action. I am (pg-patroni-node1-0), the leader with the lock"
"2025-10-15T02:20:09.704+07:00","2025-10-14 19:20:09,703 INFO: no action. I am (pg-patroni-node1-0), the leader with the lock"
"2025-10-15T02:20:10.702+07:00","2025-10-14 19:20:10,700 INFO: no action. I am (pg-patroni-node1-0), the leader with the lock"
"2025-10-15T02:20:11.685+07:00","2025-10-14 19:20:11,684 INFO: no action. I am (pg-patroni-node1-0), the leader with the lock"
"2025-10-15T02:20:12.698+07:00","2025-10-14 19:20:12,697 INFO: no action. I am (pg-patroni-node1-0), the leader with the lock"
"2025-10-15T02:20:13.688+07:00","2025-10-14 19:20:13,686 INFO: no action. I am (pg-patroni-node1-0), the leader with the lock"
"2025-10-15T02:20:14.700+07:00","2025-10-14 19:20:14,699 INFO: no action. I am (pg-patroni-node1-0), the leader with the lock"
"2025-10-15T02:20:15.725+07:00","2025-10-14 19:20:15,724 INFO: no action. I am (pg-patroni-node1-0), the leader with the lock"
"2025-10-15T02:20:16.700+07:00","2025-10-14 19:20:16,699 INFO: no action. I am (pg-patroni-node1-0), the leader with the lock"
"2025-10-15T02:20:17.706+07:00","2025-10-14 19:20:17,704 INFO: no action. I am (pg-patroni-node1-0), the leader with the lock"
"2025-10-15T02:20:18.701+07:00","2025-10-14 19:20:18,700 INFO: no action. I am (pg-patroni-node1-0), the leader with the lock"
"2025-10-15T02:20:19.705+07:00","2025-10-14 19:20:19,703 INFO: no action. I am (pg-patroni-node1-0), the leader with the lock"
"2025-10-15T02:20:20.702+07:00","2025-10-14 19:20:20,701 INFO: no action. I am (pg-patroni-node1-0), the leader with the lock"
"2025-10-15T02:20:21.686+07:00","2025-10-14 19:20:21,686 INFO: no action. I am (pg-patroni-node1-0), the leader with the lock"
"2025-10-15T02:20:22.703+07:00","2025-10-14 19:20:22,701 INFO: no action. I am (pg-patroni-node1-0), the leader with the lock"
"2025-10-15T02:20:23.685+07:00","2025-10-14 19:20:23,684 INFO: no action. I am (pg-patroni-node1-0), the leader with the lock"
"2025-10-15T02:20:24.700+07:00","2025-10-14 19:20:24,699 INFO: no action. I am (pg-patroni-node1-0), the leader with the lock"
"2025-10-15T02:20:25.700+07:00","2025-10-14 19:20:25,698 INFO: no action. I am (pg-patroni-node1-0), the leader with the lock"
